Problem Family,Problem Variation,Relevant?,Year of creation,"Type of Bound 
(trivial - obvious, full - has been proved and published, 
none - no bound, -- is an extra resource and not a bound )",Restricted Version?,Transition Class,Reduction Type,Run Time Lower Bound,Time Complexity Class,Exact Inapprox. Ratio,Parameter,"""Rounded"" Inapprox Ratio",Approximation Factor Class (Mult),Fixed Parameters,Lower Bound (input-based),Model of Computation,Link,Year,Key / Authors,Paper,"Randomized? (N = No, Y = Yes)","Conditional? (N = No, Y = Yes)",Conditional conjecture,Derived by:,Caveats/Notes
The Set-Covering Problem,Unweighted Set-Covering,1,,trivial,,,,linear,3,$n$,,$n$,9,,,,,,,,N,N,,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$(\tfrac{1}{4}-\epsilon)\log_2 n$,any epsilon>0,$0.361\ln n$,6,,,,https://doi.org/10.1145%2F185675.306789,1994,CARSTEN LUND AND MIHALIS YANNAKAKIS ,On the Hardness of Approximating Minimization Problems ,N,Y,NP not in QP or DTIME(2^{poly \log n})$,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$(\tfrac{1}{2}-\eps)\log_2 n$,any epsilon>0,$0.721\ln n$,6,,,,https://doi.org/10.1145%2F185675.306789,1994,CARSTEN LUND AND MIHALIS YANNAKAKIS ,On the Hardness of Approximating Minimization Problems ,N,Y,NP not in ZTIME(2^{poly \log n})$ where ZTIME is the class of problems with zero sided error,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$(1 - o(1)) \ln n$,,$\ln n$,6,,,,https://dl.acm.org/doi/10.1145/285055.285059,1998,URIEL FEIGE,A Threshold of ln n for Approximating Set Cover,N,Y,NP not solvable in n^(O(\log \log n)}$,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$(1 - o(1)) \n n$,,$\ln n$,6,,,,https://link.springer.com/chapter/10.1007/978-3-642-32512-0_24,2012,Dana Moshkovitz ,The Projection Games Conjecture and the NP-Hardness of ln n-Approximating Set-Cover,N,Y,Projection Games Conjecture and P not equal NP,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$c \ln n$,fixed c?,?,6,,,,https://dl.acm.org/doi/10.1145/258533.258641,1997,Ran Raz and Shmuel Safra,"A sub-constant error-probability low-degree test, and a sub-constant error-probability PCP characterization of NP",N,Y,P not equal NP,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$(1 - \epsilon) \ln n$,any epsilon>0,$\ln n$,6,,,RAM,https://www.dsteurer.org/paper/productgames.pdf,2013,Irit Dinur and David Steurer,Analytical Approach to Parallel Repetition,N,Y,P not equal NP,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$c$,any c>0,$1000000$,4,,,RAM,https://cseweb.ucsd.edu/~mihir/papers/epcp.pdf,1993,"Mihir Bellare, Shafi Goldwasser, Carsten Lund, A. Russel",Efficient probabilistically checkable proofs and applications to approximations,N,Y,P not equal NP,,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$(\tfrac{1}{8}-\epsilon)\log_2 n$,any epsilon>0,$0.180\ln n$,6,,,RAM,https://cseweb.ucsd.edu/~mihir/papers/epcp.pdf,1993,"Mihir Bellare, Shafi Goldwasser, Carsten Lund, A. Russel",Efficient probabilistically checkable proofs and applications to approximations,N,Y,NP not in DTIME(n^(log log n)),,
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$f-1-\epsilon$,any epsilon>0,$f-1$,6,$f$: maximum number of times an element appears in a set,,RAM,https://dl.acm.org/doi/10.1145/780542.780629,2003,"Irit Dinur, Venkatesan Guruswami, Subhash Khot, Oded Regev",A new multilayered PCP and the hardness of hypergraph vertex cover,N,Y,P not equal NP,,"(shown for a problem called ""Ek-Vertex-Cover"" which is similar to set cover)"
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$f-\epsilon$,any epsilon>0,$f$,6,$f$: maximum number of times an element appears in a set,,RAM,https://www.sciencedirect.com/science/article/pii/S0022000007000864,2008,"Subhash Khot, Oded Regev",Vertex cover might be hard to approximate to within 2 − ε,N,Y,"Unique Games Conjecture, P not equal NP",,"(shown for a problem called ""Ek-Vertex-Cover"" which is similar to set cover)"
The Set-Covering Problem,Unweighted Set-Covering,1,,,,,,polynomial,7,$\ln \Delta - O(\ln \ln \Delta)$,,$\ln \Delta - O(\ln \ln \Delta)$,6,$\Delta$: maximum size of a set,,RAM,https://dl.acm.org/doi/10.1145/380752.380839,2001,Luca Trevisan,Non-approximability results for optimization problems on bounded degree instances,N,Y,P not equal NP,,
The Traveling-Salesman Problem,Approximate Metric TSP,1,,,,,gap reduction,polynomial,7,PTAS,,,2,,,RAM,https://madhu.seas.harvard.edu/papers/1992/almss-conf.pdf,1992,"Sanjeev Arora, Carsten Lund, Rajeev Motwani, Madhu Sudan, Mario Szegedy",Proof Verification and Hardness of Approximation Problems,N,Y,P not equal NP,,
The Traveling-Salesman Problem,Approximate Asymmetric TSP,0,,,,,gap reduction,polynomial,7,$\frac{117}{116}-\epsilon$,any epsilon>0,$1.008621$,2.008,,,RAM,https://link.springer.com/article/10.1007/s00493-006-0008-z,2006,Christos H. Papadimitriou & Santosh Vempala,On The Approximability Of The Traveling Salesman Problem,N,Y,P not equal NP,,
The Traveling-Salesman Problem,Approximate Symmetric TSP,1,,,,,gap reduction,polynomial,7,$\tfrac{220}{219}-\epsilon$,any epsilon>0,$1.004566$,2.004,,,RAM,https://link.springer.com/article/10.1007/s00493-006-0008-z,2006,Christos H. Papadimitriou & Santosh Vempala,On The Approximability Of The Traveling Salesman Problem,N,Y,P not equal NP,,
The Traveling-Salesman Problem,Approximate Asymmetric TSP,0,,,,,gap reduction,polynomial,7,$\frac{75}{74}-\epsilon$,any epsilon>0,$1.013514$,2.013,,,RAM,https://www.sciencedirect.com/science/article/pii/S0022000015000641,2015,"Marek Karpinski, Michael Lampis, Richard Schmied",New Inapproximability Bounds for TSP,N,Y,P not equal NP,,
The Traveling-Salesman Problem,Approximate Symmetric TSP,1,,,,,gap reduction,polynomial,7,$\tfrac{123}{122}-\epsilon$,any epsilon>0,$1.008197$,2.008,,,RAM,https://www.sciencedirect.com/science/article/pii/S0022000015000641,2015,"Marek Karpinski, Michael Lampis, Richard Schmied",New Inapproximability Bounds for TSP,N,Y,P not equal NP,,
The Traveling-Salesman Problem,Approximate Metric TSP,0,,,,,gap reduction,polynomial,7,$\tfrac{923}{918}-\epsilon$,any epsilon>0,$1.005447$,2.005,,,RAM,https://arxiv.org/pdf/1206.2497,2012,Michael Lampis,Improved Inapproximability for TSP,N,Y,P not equal NP,,
The Traveling-Salesman Problem,"Approximate (1,2) Metric TSP",0,,,,,gap reduction,polynomial,7,$\tfrac{5381}{5380}-\epsilon$,any epsilon>0,$1.000186$,2.0001,,,RAM,https://link.springer.com/chapter/10.1007/3-540-49116-3_35,2002,Lars Engebretsen ,An Explicit Lower Bound for TSP with Distances One and Two,N,Y,P not equal NP,,
The Traveling-Salesman Problem,Approximate Metric TSP,1,,,,,gap reduction,polynomial,7,$\tfrac{3813}{3812}-\epsilon$,any epsilon>0,$1.000262$,2.0002,,,RAM,https://link.springer.com/chapter/10.1007/3-540-46541-3_32,2000,"Hans-Joachim B¨ockenhauer, Juraj Hromkoviˇc, Ralf Klasing, Sebastian Seibert,
and Walter Unger",,N,Y,P not equal NP,,
Boolean CNF-Satisfiability,Max-SAT,1,,trivial,,,,linear,3,$n$,,$n$,9,,,,,,,,N,N,,,
Boolean CNF-Satisfiability,Max-SAT,1,,,,,,polynomial,7,PTAS,,,2,,,RAM,https://madhu.seas.harvard.edu/papers/1992/almss-conf.pdf,1992,"Sanjeev Arora, Carsten Lund, Rajeev Motwani, Madhu Sudan, Mario Szegedy",Proof Verification and Hardness of Approximation Problems,N,Y,P not equal NP,,
Boolean 3-Satisfiability,Max-3SAT,1,,trivial,,,,linear,3,$n$,,$n$,9,,,,,,,,N,N,,,
Boolean 3-Satisfiability,Max-3SAT,1,,,,,gap reduction,polynomial,7,$\frac{80}{77}-\epsilon$,any epsilon>0,$1.038961$,2.038,,,RAM,https://www.cs.umd.edu/~gasarch/TOPICS/pcp/bgsfreebits.pdf,1995,"MIHIR BELLARE , ODED GOLDREICH , AND MADHU SUDAN","FREE BITS, PCPS AND NON-APPROXIMABILITY – TOWARDS
TIGHT RESULTS",N,Y,P not equal NP,,
Boolean 3-Satisfiability,Max-3SAT,1,,,,,,polynomial,7,$\frac{113}{112}-\epsilon$,any epsilon>0,$1.008929$,2.008,,,RAM,https://cseweb.ucsd.edu/~mihir/papers/epcp.pdf,1993,"Mihir Bellare, Shafi Goldwasser, Carsten Lund, A. Russel",Efficient probabilistically checkable proofs and applications to approximations,N,Y,NP not a subset of BPP,,
Boolean 3-Satisfiability,Max-3SAT,1,,,,,,polynomial,7,$\frac{94}{93}-\epsilon$,any epsilon>0,$1.010753$,2.01,,,RAM,https://cseweb.ucsd.edu/~mihir/papers/epcp.pdf,1993,"Mihir Bellare, Shafi Goldwasser, Carsten Lund, A. Russel",Efficient probabilistically checkable proofs and applications to approximations,N,Y,EXP not a subset of NEXP,,
Boolean 3-Satisfiability,Max-3SAT,1,,,,,,polynomial,7,$\frac{94}{93}-\epsilon$,any epsilon>0,$1.010753$,2.01,,,RAM,https://dl.acm.org/doi/10.1145/195058.195128,1994,"Uri Feige, Joe Kilian",Two prover protocols: low error at affordable rates,N,Y,P not equal NP,,
Boolean 3-Satisfiability,Max-3SAT,1,,,,,,polynomial,7,$\frac{66}{65}-\epsilon$,any epsilon>0,$1.015385$,2.015,,,RAM,https://dl.acm.org/doi/10.1145/195058.195129,1994,"Mihir Bellare, Madhu Sudan",Improved Non-Approximability Results,N,Y,$\tilde{P}\neq N\tilde{P}$,,
Boolean 3-Satisfiability,Max-3SAT,1,,,,,,polynomial,7,$\frac{74}{73}-\epsilon$,any epsilon>0,$1.013699$,2.013,,,RAM,https://dl.acm.org/doi/pdf/10.1145/195058.195129,1994,"Mihir Bellare, Madhu Sudan",Improved Non-Approximability Results,N,Y,P not equal NP,,
Boolean 3-Satisfiability,Max-3SAT,1,,,,,,polynomial,7,$\frac{8}{7}-\epsilon$,any epsilon>0,$1.142857$,2.143,,,RAM,https://dl.acm.org/doi/pdf/10.1145/502090.502098,1997,JOHAN HASTAD,Some Optimal Inapproximability Results,N,Y,P not equal NP,,
Boolean 3-Satisfiability,Max-3SAT,1,,,,,,polynomial,7,$\frac{1}{\frac{7}{8}+(\log B)^{-c}}$,some $c>0$,$1.142857$,2.143,$B$: number of occurrences of each variable,,RAM,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8785c6478b485332320df4b179c96556462102f8,2000,JOHAN HASTAD,On bounded occurrence constraint satisfaction,N,Y,P not equal NP,,
Boolean 3-Satisfiability,Max-3SAT,1,,,,,,polynomial,7,$\frac{1}{\frac{7}{8}+O(1/\sqrt{B})}$,some $c>0$,$1.142857$,2.143,$B$: number of occurrences of each variable,,RAM,https://dl.acm.org/doi/10.1145/380752.380839,2001,Luca Trevisan,Non-approximability results for optimization problems on bounded degree instances,Y,Y,RP not equal NP,,
Boolean 2-Satisfiability,Max-2SAT,1,,trivial,,,,linear,3,$n$,,$n$,9,,,,,,,,N,N,,,
Boolean 2-Satisfiability,Max-2SAT,1,,,,,L,polynomial,7,PTAS,,,2,,,RAM,https://core.ac.uk/download/pdf/82227098.pdf,1991,Christos H. Papadimitriou & Mihalis Yannakakis,"Optimization, Approximation, and Complexity Classes",N,Y,no problem in MaxSNP has a PTAS,,
Boolean 2-Satisfiability,Max-2SAT,1,,,,,,polynomial,7,$1.013$,,$1.013$,2.013,,,RAM,https://www.cs.umd.edu/~gasarch/TOPICS/pcp/bgsfreebits.pdf,1995,"MIHIR BELLARE , ODED GOLDREICH , AND MADHU SUDAN","FREE BITS, PCPS AND NON-APPROXIMABILITY – TOWARDS
TIGHT RESULTS",N,Y,P not equal NP,,
Boolean 2-Satisfiability,Max-2SAT,0,,,,,strict,polynomial,7,$\frac{4}{3}-\epsilon$,any epsilon>0,$1.333333$,2.333,,,LP,https://dl.acm.org/doi/pdf/10.1145/2746539.2746550,2015,"Gábor Braun, Sebastian Pokutta, Daniel Zink","Inapproximability of Combinatorial Problems
via Small LPs and SDPs",N,?,?,,
Boolean 2-Satisfiability,Max-2SAT,1,,,,,L,polynomial,7,PTAS,,,2,,,RAM,https://core.ac.uk/download/pdf/82227098.pdf,1991,Christos H. Papadimitriou & Mihalis Yannakakis,"Optimization, Approximation, and Complexity Classes",N,Y,no problem in MaxSNP has a PTAS,,
Boolean 2-Satisfiability,Max-2SAT,1,,,,,,polynomial,7,$\frac{22}{21}-\epsilon$,any epsilon>0,$1.047619$,2.047,,,RAM,https://dl.acm.org/doi/pdf/10.1145/502090.502098,2001,JOHAN HASTAD,Some Optimal Inapproximability Results,N,Y,P not equal NP,,
Boolean 2-Satisfiability,Max-2SAT,1,,,,,,polynomial,7,$\approx\frac{1}{0.943943}-\epsilon$,any epsilon>0,$1.059386$,2.059,,,RAM,https://epubs.siam.org/doi/epdf/10.1137/S0097539705447372,2007,"SUBHASH KHOT , GUY KINDLER , ELCHANAN MOSSEL, AND RYAN O’DONNELL","OPTIMAL INAPPROXIMABILITY RESULTS FOR MAX-CUT
AND OTHER 2-VARIABLE CSPs",N,Y,"Unique Games Conjecture, P not equal NP",,"(Also originally required a ""Majority is Stablest"" conjecture which was later proven true)"
Boolean 2-Satisfiability,Max-2SAT,1,,,,,,polynomial,7,$\approx\frac{1}{0.94016567}-\epsilon$,any epsilon>0,$1.063642$,2.064,,,RAM,https://dl.acm.org/doi/10.1145/1250790.1250818,2007,Per Austrin,Balanced max 2-sat might not be the hardest,N,Y,"Unique Games Conjecture, P not equal NP",,Also has a follow-up in https://arxiv.org/abs/2310.12911
Maximum Cut,"Maximum Cut, Approximate",1,,trivial,,,,linear,3,$n$,,$n$,9,,,,,,,,N,N,,,
Maximum Cut,"Maximum Cut, Approximate",1,,,,,,polynomial,7,PTAS,,,2,,,RAM,https://madhu.seas.harvard.edu/papers/1992/almss-conf.pdf,1992,"Sanjeev Arora, Carsten Lund, Rajeev Motwani, Madhu Sudan, Mario Szegedy",Proof Verification and Hardness of Approximation Problems,N,Y,P not equal NP,,
Maximum Cut,"Maximum Cut, Approximate",1,,,,,,polynomial,7,$1.014$,,$1.014$,2.014,,,RAM,https://www.cs.umd.edu/~gasarch/TOPICS/pcp/bgsfreebits.pdf,1995,"MIHIR BELLARE , ODED GOLDREICH , AND MADHU SUDAN","FREE BITS, PCPS AND NON-APPROXIMABILITY – TOWARDS
TIGHT RESULTS",N,Y,P not equal NP,,
Maximum Cut,"Maximum Cut, Approximate",1,,,,,,polynomial,7,$\frac{17}{16}-\epsilon$,any epsilon>0,$1.0625$,2.062,,,RAM,https://dl.acm.org/doi/pdf/10.1145/502090.502098,2001,JOHAN HASTAD,Some Optimal Inapproximability Results,N,Y,P not equal NP,,
Maximum Cut,"Maximum Directed Cut, Approximate",0,,,,,,polynomial,7,$\frac{12}{11}-\epsilon$,any epsilon>0,$1.090909$,2.09,,,RAM,https://dl.acm.org/doi/pdf/10.1145/502090.502098,2001,JOHAN HASTAD,Some Optimal Inapproximability Results,N,Y,P not equal NP,,
Maximum Cut,"Maximum Cut, Approximate",1,,,,,gap reduction,polynomial,7,$\approx\frac{1}{0.878567}-\epsilon$,any epsilon>0,$1.138217$,2.138,,,RAM,https://epubs.siam.org/doi/epdf/10.1137/S0097539705447372,2007,"SUBHASH KHOT , GUY KINDLER , ELCHANAN MOSSEL, AND RYAN O’DONNELL","OPTIMAL INAPPROXIMABILITY RESULTS FOR MAX-CUT
AND OTHER 2-VARIABLE CSPs",N,Y,"Unique Games Conjecture, P not equal NP",,"(Also originally required a ""Majority is Stablest"" conjecture which was later proven true)"
Maximum Cut,"Maximum Directed Cut, Approximate",0,,,,,,polynomial,7,$\approx\frac{1}{0.87461}-\epsilon$,any epsilon>0,$1.143366$,2.143,,,RAM,https://arxiv.org/abs/2212.11191,2022,"Joshua Brakensiek, Neng Huang, Aaron Potechin, Uri Zwick","Separating MAX 2-AND, MAX DI-CUT and MAX CUT",N,Y,"Unique Games Conjecture, P not equal NP",,
Clique Problems,Max-Size Clique (Approximate),1,,trivial,,,,constant,1,$n$,,$n$,9,,,,,,,,N,N,,,
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$c$,any c>0,$1000000$,4,,,RAM,https://dl.acm.org/doi/pdf/10.1145/226643.226652,1996,"Uriel Feige, Shafi Goldwasser, LÁszlÓ Lovász, Shmuel Safra, Márió Szegedy","Interactive Proofs and the Hardness of Approximating
Cliques",N,Y,NP not a subset of DTIME(n^(O(log log n))),,
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$2^{\log^{1-\epsilon} N}$,any epsilon>0,$N^{.0000001}$,7.0002,,,RAM,https://dl.acm.org/doi/pdf/10.1145/226643.226652,1996,"Uriel Feige, Shafi Goldwasser, LÁszlÓ Lovász, Shmuel Safra, Márió Szegedy","Interactive Proofs and the Hardness of Approximating
Cliques",N,Y,NP not a subset of DTIME(2^((log n)^(O(1)))),,
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$2^{\log^{0.5-\epsilon} N}$,any epsilon>0,$2^{\log^{0.5}(N)}$,7.0001,,,RAM,https://dl.acm.org/doi/pdf/10.1145/273865.273901,1992,"Sanjeev Arora, Shmuel Safra","Probabilistic Checking of Proofs: A New
Characterization of NP",N,Y,P not equal NP,,
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$N^{c}$,fixed c>0,$N^{.0001}$,7.001,,,RAM,https://madhu.seas.harvard.edu/papers/1992/almss-conf.pdf,1992,"Sanjeev Arora, Carsten Lund, Rajeev Motwani, Madhu Sudan, Mario Szegedy",Proof Verification and Hardness of Approximation Problems,N,Y,P not equal NP,,
Clique Problems,Max-Size Clique (Approximate),1,,,,,,polynomial,7,$N^{1/30-\epsilon}$,any epsilon>0,$N^{1/30}$,7.066,,,RAM,https://cseweb.ucsd.edu/~mihir/papers/epcp.pdf,1993,"Mihir Bellare, Shafi Goldwasser, Carsten Lund, A. Russel",Efficient probabilistically checkable proofs and applications to approximations,N,Y,NP not a subset of BPP,,
